Scaffold ID	Scaffold SMILES	Cluster ID	Score
SCAFFA142	c1ccc2c(c1)C[C@H]1CCC[C@H]1C2	15	1.0
SCAFFA143	O=C(CNC(=O)[C@@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1ccccc1)NC(=O)CNC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)[C@@H]1CCC(=O)N1)NCC(=O)N1CCCC1	3	1.0
SCAFFA144	c1ccc(-c2ccccc2-c2nnn[nH]2)cc1	115	1.0
SCAFFA145	O=C(c1ccccc1)c1c[nH]c2ncc(-c3ccccc3)cc12	324	1.0
SCAFFA146	O=C(Nc1cccc(-c2ccccn2)c1)c1ccccc1	4	1.0
SCAFFA147	O=c1oc2ccccc2cc1Cc1ccccc1	41	1.11688312
SCAFFA148	c1ccc2oncc2c1	29	1.0
SCAFFA149	O=C1c2c([nH]c3ccccc23)CCN1Cc1c[nH]cn1	176	1.0
SCAFFA150	c1ccc2c(c1)N=C(N1CCNCC1)c1ccccc1O2	80	1.11688312
SCAFFA151	O=C1c2ccccc2C(=O)N1Cc1ccccc1	62	1.0
SCAFFA152	O=C(NCc1ncccn1)c1cnc(N2CCCC2)nc1NCc1ccccc1	53	1.0
SCAFFA153	c1ccc(Nc2ccnc(Nc3ccc(C4CCNCC4)cc3)n2)cc1	27	1.0
SCAFFA154	O=C1CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CN1	20	1.11688312
SCAFFA155	O=S1(=O)NC(C2CC3C=CC2C3)Nc2ccccc21	114	1.0
SCAFFA156	O=C(Nc1ccccc1)c1cnc(Nc2cc(N3CCNCC3)ncn2)s1	113	1.0
SCAFFA157	O=C(O[C@H]1CC[C@H]2C[C@@H]3c4[nH]c5ccccc5c4CCN3C[C@H]2C1)c1ccccc1	172	1.11688312
SCAFFA158	O=C1C2=CC3C(=O)C=CC[C@@H]3C[C@@H]2Cc2ccccc21	95	1.81818182
SCAFFA159	c1ccc(CNc2ccccc2)cc1	2	1.0
SCAFFA160	O=c1cc[nH]c(=O)[nH]1	112	1.0
SCAFFA161	O=C(NC1CCCCC1)NS(=O)(=O)c1ccc(CCNC(=O)c2ccccc2)cc1	24	1.0
SCAFFA162	O=C1CC[C@H]2[C@H]3Cc4cccc5c4[C@@]2(CCN3)[C@H]1O5	25	1.0
SCAFFA163	O=C(c1ccccc1)n1ccc2ccccc21	175	1.0
SCAFFA164	O=C(CCc1ccccc1)NCC(=O)NCC(=O)NCC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)NCC(=O)N[C@H]1CSSC[C@@H]2NC(=O)CCSSC[C@H](NC(=O)CNC(=O)CNC(=O)CNC2=O)C(=O)NCC(=O)NCC(=O)N[C@@H](Cc2ccccc2)C(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)N[C@@H](Cc2ccccc2)C(=O)NCCSSC[C@@H](C(=O)NCC(=O)NCC(=O)NCC(=O)NCC(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)NCC(=O)N2CCCC2)NC(=O)CNC(=O)CNC(=O)[C@H](Cc2ccccc2)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@H](Cc2c[nH]cn2)NC(=O)CNC(=O)CNC1=O	3	1.0
SCAFFA165	O=C1Cc2ccccc2CCN1CCCNC[C@H]1Cc2ccccc21	323	1.0
SCAFFA166	O=C1CCCN1	20	1.11688312
SCAFFA167	c1ccc(C2c3ccccc3C3=NCCN32)cc1	174	1.0
SCAFFA168	c1ccc(C2CCNCC2)cc1	1	1.0
SCAFFA169	O=C1CC(=O)NC(=O)N1	20	1.23376623
SCAFFA170	O=C1c2ccccc2NCN1c1ccccc1	28	1.0
SCAFFA171	O=C1c2ccccc2C(=O)c2ccccc21	60	1.0
SCAFFA172	C(=C/c1ccc2ccccc2n1)\c1cccc([C@@H](CCc2ccccc2)SCC2CC2)c1	322	1.0
