Scaffold ID	Scaffold SMILES	Cluster ID	Score
SCAFFB108	C1CCC(CC2CCC3CCCCC3C2)CC1	1	1.33333333
SCAFFB109	C1CCC(CC2CC3CCCCC3C2)CC1	1	1.0
SCAFFB110	C1CCC(CCCC2CCC(C3CCCC3)CC2CCC2CCCCC2)CC1	1	1.0
SCAFFB111	C1CCC(CC2CCCC(CC3CCC(C4CCCCC4)CC3)C2)CC1	4	1.0
SCAFFB112	C1CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC1	46	1.08333333
SCAFFB113	C1CCC2CC(C3CC4CCC3C4)CCC2C1	53	1.0
SCAFFB114	C1CCC(CCC2CCC(CC3CCCC(C4CCCCC4)C3)C2)CC1	1	1.0
SCAFFB115	C1CCC(CCC2CCC3CC4C(CCC5C6CCCCC6CC45)CC3C2)CC1	1	1.08333333
SCAFFB116	C1CCC2CC3CC4CCCCC4CC3CC2C1	10	1.75
SCAFFB117	C1CCC(CC2CCC3CCCCC32)CC1	3	1.16666667
SCAFFB118	C1CCCCCCCCC(CC2CCCCC2)CCCCCCCCC(CCCCCCCCCCCCCCC(CCC(CCC(CCCCC2CCCC2)CC2CCCCC2)CC2CCCCC2)CC2CCCCC2)CCCCCCCC(CC2CCCCC2)CCCCCCCCCCCCCCC(CC2CCCCC2)CCCCCCCCC2CCCCCCCCCCCC(CCCCCCC2)CCCCC(CCCCCC(CCCCCCCCCCCCCC2CCCCC2)CC2CCCC2)CCCCCCCCC(CC2CCCC2)CCCCCCCC1	9	1.0
SCAFFB119	C(CCC1CCC2CCCCC2CC1)CCC1CC2CCCCC12	3	1.0
SCAFFB120	C1CCC(C2C3CCCCC3C3CCCC32)CC1	5	1.0
SCAFFB121	C1CCC(C2CCC3CCCCC3C2)CC1	1	1.33333333
SCAFFB122	C1CCC(CCC(CCC2CC2)C2CCCC(CCC3CCC4CCCCC4C3)C2)CC1	1	1.0
SCAFFB123	C1CC(CC2CCC(CC3CC3)CC2)CC(CC2CCCC3CCCCC32)C1	6	1.0
SCAFFB124	C1CCC1	46	1.0
SCAFFB125	C1CC2CCCC3CC(C4CC5CCC4CC5)CC(C1)C23	88	1.0
SCAFFB126	C1CCC(CCCC2C3CCCCC3CC3CCCCC32)CC1	2	1.5
SCAFFB127	C1CCCCCCC(CC2CCC(CC3CCCCCCCCCCCCC3)CC2)CCCCCC1	4	1.0
SCAFFB128	C1CCC(CCCCC2CCC3CC4C(CCC5C6CCCCC6CC45)CC3C2)CC1	3	1.0
SCAFFB129	C1CCC(CCC2CCCCCCCCCCCC3CCCC(CCC4CCCCC4CC2)C3)CC1	1	1.0
SCAFFB130	C1CCC(CCC2CCC(CC3CCCCC4CCCCC43)CC2)CC1	3	1.0
SCAFFB131	C1CCC2CC3C(CC2C1)CC1CC2CCCCC2CC13	33	1.0
SCAFFB132	C1CCC(CCC2CCC3C(CCCC3CC3CCCCC3)C2)CC1	1	1.0
SCAFFB133	C1CCC(CCC2CCCC(C3CCCC3C3CCCCC3)C2)CC1	1	1.0
SCAFFB134	C1CCC(CC2CCC(CC3CCC(CC4CCC5C(CCC6C5CCC5C(C7CCCC7)CCC56)C4)CC3)CC2)CC1	7	1.16666667
SCAFFB135	C1CCC2C(C1)CCC1CCCCC12	5	1.25
SCAFFB136	C1CCC2C(C1)CCC2C1CCCC1	5	1.33333333
SCAFFB137	C1CCC(CCCCC2CCC(CCCCC3CCCC3)CC2)CC1	2	1.0
SCAFFB138	C(CCCCCCCCCCCCCC(CCCCCCCCC(CCCCCCCCCCCC(CCCCCCCCCCCCCCCCC1CCCC1)CC1CCCCC1)CC1CCCCC1)CC1CCCCC1)CCCCCCCCCCCCC(CCCCCCCCCCC1CCC2CCCCC12)CC1CCCCC1	3	1.0
SCAFFB139	C1CCC(CC2CCCC3CC4CC5CCCCC5CC4CC23)CC1	12	1.25
SCAFFB140	C1CCC(C2CC3CCCC3C3CCC4CCCCC4C23)CC1	32	1.0
SCAFFB141	C1CCC(C2CCC(CC3CCC4CCCC(C5CCCC5)C4C3)CC2)CC1	7	1.0
SCAFFB142	C1CCC2C(C1)CC1CCCC2C1	52	1.0
SCAFFB143	C1CCC(CC2CC(C3CCCCC3)C3CCCCC23)CC1	5	1.08333333
SCAFFB144	C1CCC(C2CC3CCCCC3C2)CC1	4	1.5
SCAFFB145	C(CCCC1CCC2CCCCC2C1)CCC1CCCC1	1	1.0
SCAFFB146	C1CCC(CCCC2CC3CCC(C2)C3)CC1	2	1.08333333
SCAFFB147	C1CCC(CCC(CCCCC2CCCC2)CCC(CCC(CCCCC2CCCC2)CC2CCCCC2)CC2CCCCC2)CC1	9	1.0
SCAFFB148	C1CCC2CCCC3CCCCC3C2CC1	5	1.0
SCAFFB149	C1CCC(CC2CC3CCCC3C3CC(CCC4CCC5CC6CCC7CCCC(C5C4)C76)CC23)CC1.C1CC2CCC3CC(CCC4CCC5CC6CCC7CCCC(C5C4)C76)CC3C2C1	64	1.0
SCAFFB150	C1CCC(C2CCC(CCC3CCCC(C4CCCCC4)C3)CC2)CC1	1	1.0
SCAFFB151	C1CCC(C(CCC2CCCC2)C2CCCC2)CC1	2	1.0
SCAFFB152	C1CCC(C2CC3CCCCC3CC2CCC2CCCC3CCCC32)CC1	11	1.08333333
SCAFFB153	C1CCC(C2CCCCC2CCC2CCC(CCCCC3C4CCCCC4C4CCCCC34)CC2)CC1	3	1.0
SCAFFB154	C1CCC2CCC(C3CCCC3)C2CC1	5	1.0
SCAFFB155	C1CCC(CC2CCCC2)C1	2	1.0
SCAFFB156	C1CCC(C2CCCC(CC3CC3)C3CCCCC23)CC1	5	1.0
SCAFFB157	C1CCC(CCCC2CC(C3CCCCC3)C(C3CCCCC3)C2)CC1	2	1.0
SCAFFB158	C1CCC(CCCC2CCC(CC3CCC4CCC(CCCC5CCCC5)CC43)CC2)CC1	2	1.0
SCAFFB159	C(CCCC1CCCC1)CCCC(CCC(CCCCCC(CCC(CCCCC1CCC2CCCCC2C1)CC1CCCCC1)CC1CCCCC1)CC1CCC(CCC2CCCCC2)CC1)CC1CCCCC1	1	1.0
SCAFFB160	C1CCC(CC2CCC(CC3CCC(CC4CCC(CC5CCC6C(CCC7C6CCC6C(C8CCCC8)CCC67)C5)CC4)CC3)CC2)CC1	7	1.0
SCAFFB161	C1CCC(CCCCC2CCC(C3CCC4CCCCC43)CC2)CC1	3	1.08333333
SCAFFB162	C1CCC(CCCCC2CCC(C(C3CCCCC3)C3CCCCC3)CC2)CC1	2	1.0
SCAFFB163	C1CCC(C2CC3CCC(CC4CCC5CCCCC5C4)CC3C2)CC1	1	1.0
SCAFFB164	C1CCC(C(CCCC2CCC(C3CCC4CCCCC43)CC2)C2CCCCC2)CC1	14	1.0
SCAFFB165	C1CCC(C2CCCC3CCCC32)CC1	5	1.08333333
SCAFFB166	C(CC1CC1)CC1CCC(CC2CCCC3CCCCC32)CC1	6	1.0
SCAFFB167	C1CCC(C2C3CCCC3C(CC3CCC4CC(C5CCCC5)CCC4C3)C3CC4CCCC4CC32)CC1	37	1.0
SCAFFB168	C1CCC(CC2CCC(CCC3CCC4CCCCC4C3)CC2)C1	1	1.0
